catalog,vizier_source,vizier_table,recno,XMMXCS,Name,RAJ2000,DEJ2000,Counts,z,r_z,n_z,TX,e_TX,E_TX,OName,n_zoo,zoo,L500,e_L500,E_L500,R500,e_R500,E_R500,L200,e_L200,E_L200,R200,e_R200,E_R200,Simbad,RA_deg,Dec_deg
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,351,J130601.4+180145.9,J1306.0+1801,196.505833,18.029417,174.9,0.93,Spec,spec,4.0,1.5,2.3,,dss,na,0.555,0.115,0.092,364,82,106,1.147,0.235,0.18,553,125,161,Simbad,196.505833,18.029417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,352,J130649.9-233128.5,J1306.8-2331,196.707917,-23.524583,283.8,0.21,NXS,phot,3.8,0.9,1.3,,NXS,g,0.819,0.621,1.674,786,112,143,1.012,0.813,4.456,1192,170,217,Simbad,196.707917,-23.524583
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,353,J130749.6+292549.2,J1307.8+2925,196.956667,29.430333,7139.8,0.24,LRG,spec,3.2,0.2,0.2,ZwCl 1305.4+2941,DR7,g,1.669,0.079,0.069,686,22,21,1.941,0.109,0.099,1041,33,31,Simbad,196.956667,29.430333
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,354,J130832.6+534214.2,J1308.5+5342,197.135833,53.703944,2552.9,0.33,LRG,spec,3.5,0.3,0.3,WARP J1308.5+5342,DR7,g,1.17,0.059,0.067,659,27,29,1.733,0.101,0.132,1000,42,44,Simbad,197.135833,53.703944
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,355,J130933.7+573926.3,J1309.5+5739,197.390417,57.657306,526.3,0.2,DR7,phot,7.9,3.4,6.3,NSC J130931+574023,DR7,s,0.458,0.41,0.887,1193,328,474,0.691,0.644,1.587,1810,497,719,Simbad,197.390417,57.657306
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,356,J131028.4-011906.9,J1310.4-0119,197.618333,-1.318583,128.0,0.14,LRG,spec,1.6,0.3,0.6,MaxBCG J197.61951-01.31501,DR7,s,0.084,0.034,0.052,518,51,97,0.097,0.041,0.064,786,78,147,Simbad,197.618333,-1.318583
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,357,J131058.5+572043.8,J1310.9+5720,197.74375,57.3455,392.9,0.53,DR7,phot,4.1,1.1,1.5,,DR7,s,3.176,0.693,0.61,582,90,109,3.283,0.743,0.683,883,137,166,Simbad,197.74375,57.3455
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,358,J131302.0+351943.1,J1313.0+3519,198.258333,35.328639,284.3,0.3,LRG,spec,3.9,0.8,1.3,MaxBCG J198.26268+35.32836,DR7,s,1.291,0.923,0.837,722,94,133,2.309,1.884,2.196,1096,142,201,Simbad,198.258333,35.328639
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,359,J131455.1-163837.0,J1314.9-1638,198.729583,-16.643611,544.5,0.61,NXS,phot,3.3,1.2,1.3,,NXS,s,0.938,1e+20,1e+20,469,104,98,0.891,1e+20,1e+20,469,104,98,Simbad,198.729583,-16.643611
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,360,J131843.8-004356.7,J1318.7-0043,199.6825,-0.732417,699.5,0.11,DR7,phot,1.1,0.1,0.1,SDSS CE J199.682495-00.727718,DR7,s,0.065,0.035,0.066,417,17,18,0.074,0.043,0.104,633,26,27,Simbad,199.6825,-0.732417
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,361,J131937.1-145444.6,J1319.6-1454,199.904583,-14.912389,421.0,0.19,NXS,phot,1.1,0.3,0.2,,NXS,s,0.053,0.041,0.008,387,72,42,0.08,0.067,0.016,586,110,64,Simbad,199.904583,-14.912389
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,362,J131950.1-144957.5,J1319.8-1449,199.95875,-14.832639,234.5,0.34,NXS,phot,0.6,0.1,0.1,,NXS,s,0.072,0.019,0.019,243,27,21,0.104,0.031,0.035,368,41,32,Simbad,199.95875,-14.832639
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,363,J132053.8+335521.0,J1320.8+3355,200.224167,33.9225,550.0,0.18,Lit,spec,2.8,0.6,1.2,ABELL 1716,DR7,s,0.12,0.026,0.028,671,94,154,0.122,0.027,0.031,1017,143,234,Simbad,200.224167,33.9225
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,364,J132420.7+301240.3,J1324.3+3012,201.08625,30.211194,459.6,0.69,Lit,spec,3.7,0.8,1.1,GHO 1322+3028,DR7,b,0.701,0.447,0.085,458,61,71,1.1,0.846,0.447,694,92,108,Simbad,201.08625,30.211194
xcs_dr1,J/MNRAS/423/1024,J/MNRAS/423/1024/xcsdr1,365,J132434.0+053427.1,J1324.5+0534,201.141667,5.574194,745.4,0.23,DR7,phot,4.0,0.8,1.1,NSCS J132438+053216,DR7,s,1.501,0.437,0.467,787,106,128,2.274,0.756,0.918,1193,161,195,Simbad,201.141667,5.574194
