catalog,vizier_source,vizier_table,recno,MOO2,m_MOO2,RAJ2000,DEJ2000,zphot,e_zphot,S_N,S_N-G,Name-fg,zspec,r_zspec,LitName,r_LitName,SimbadName,NED,RA_deg,Dec_deg
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19835,J22180-03280,,334.511,-3.467,0.64,0.048,5.2,5.9,,1e+20,,,,,NED,334.510986328125,-3.4670000076293945
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19836,J22180+01514,,334.513,1.857,0.64,0.048,5.2,6.1,,0.692,14,HSCJ221801+015038,14,HSCS J221801+015038,NED,334.51300048828125,1.8569999933242798
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19837,J22180-01452,,334.516,-1.753,1.735,0.079,5.2,6.6,,1e+20,,,,,NED,334.5159912109375,-1.753000020980835
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19838,J22180-02060,,334.523,-2.1,1.56,0.074,5.0,6.2,,1e+20,,,,,NED,334.52301025390625,-2.0999999046325684
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19839,J22181-01176,,334.536,-1.293,1.5,0.073,5.2,6.5,,1e+20,,,,,NED,334.5360107421875,-1.2929999828338623
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19840,J22181-04012,,334.541,-4.02,0.44,0.042,5.4,6.2,,1e+20,,,,,NED,334.5409851074219,-4.019999980926514
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19841,J22181+03424,,334.541,3.707,1.38,0.069,5.3,6.6,,1e+20,,,,,NED,334.5409851074219,3.7070000171661377
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19842,J22182-02092,,334.553,-2.153,0.47,0.043,10.3,13.4,,0.483,12,RMJ221811.1-020919.3,12,[RRB2014] RM J221811.1-020919.3,NED,334.5530090332031,-2.1530001163482666
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19843,J22182+03262,,334.565,3.437,0.76,0.051,5.8,6.8,,1e+20,,HSCJ221815+032700,14,HSCS J221815+032700,NED,334.56500244140625,3.437000036239624
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19844,J22183+01400,,334.576,1.667,0.65,0.048,10.7,14.1,,0.615,14,HSCJ221819+014029,14,HSCS J221819+014029,NED,334.57598876953125,1.6670000553131104
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19845,J22183+01278,,334.596,1.463,0.44,0.042,5.1,5.8,,1e+20,,,,,NED,334.59600830078125,1.4630000591278076
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19846,J22183+03354,,334.598,3.59,0.16,0.034,6.2,6.8,,1e+20,,HSCJ221819+033425,14,HSCS J221819+033425,NED,334.5979919433594,3.5899999141693115
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19847,J22184-02102,,334.606,-2.17,0.91,0.055,5.6,6.7,,1e+20,,,,,NED,334.6059875488281,-2.1700000762939453
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19848,J22185+00118,,334.623,0.197,1.56,0.074,8.2,11.4,,1e+20,,,,,NED,334.62298583984375,0.19699999690055847
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19849,J22186-04516,,334.65,-4.861,0.88,0.055,5.1,5.9,,1e+20,,,,,NED,334.6499938964844,-4.861000061035156
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19850,J22186+01148,,334.656,1.247,1.75,0.08,5.7,7.4,,1e+20,,,,,NED,334.656005859375,1.246999979019165
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19851,J22186-03462,,334.658,-3.77,0.12,0.032,6.8,7.4,,1e+20,,RMJ221840.3-034647.7,12,[RRB2014] RM J221840.3-034647.7,NED,334.6579895019531,-3.7699999809265137
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19852,J22186-02340,,334.669,-2.567,1.08,0.06,5.2,6.2,,1e+20,,,,,NED,334.66900634765625,-2.566999912261963
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19853,J22187+00426,,334.673,0.71,1.59,0.075,5.2,6.6,,1e+20,,,,,NED,334.6730041503906,0.7099999785423279
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19854,J22187+01350,,334.676,1.583,0.79,0.052,5.8,6.9,,1e+20,,,,,NED,334.6759948730469,1.5829999446868896
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19855,J22187+02062,,334.679,2.103,0.72,0.05,7.0,8.6,,1e+20,,,,,NED,334.6789855957031,2.1029999256134033
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19856,J22187+01140,,334.68,1.233,1.33,0.068,5.0,6.1,,1e+20,,,,,NED,334.67999267578125,1.2330000400543213
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19857,J22187-00304,,334.693,-0.507,1.6,0.075,5.5,7.0,,1e+20,,,,,NED,334.6929931640625,-0.5070000290870667
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19858,J22187+04420,,334.693,4.701,0.87,0.054,6.6,8.1,,1e+20,,HSCJ221849+044225,14,HSCS J221849+044225,NED,334.6929931640625,4.701000213623047
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19859,J22187-02450,,334.696,-2.75,0.6,0.046,5.5,6.4,,1e+20,,,,,NED,334.6960144042969,-2.75
madcows2,J/ApJ/967/123,J/ApJ/967/123/table6,19860,J22188-00436,,334.71,-0.727,0.5,0.044,10.9,14.4,,1e+20,,RMJ221849.6-004345.5,"12,14",[RRB2014] RM J221849.6-004345.5,NED,334.7099914550781,-0.7269999980926514
