catalog,vizier_source,vizier_table,recno,Zwicky,RA1950,DE1950,Type,GalCnt,Diam,DistGroup,GLON,GLAT,RLamb,XLamb,YLamb,SGLON,SGLAT,ClusRad,ClusArea,Pop,_RA.icrs,_DE.icrs,RA_deg,Dec_deg
zwicky,VII/4A/zwicky,VII/4A/zwicky,532,532,01 42.1,+03 08,1,92,2.9,5,147.82,-56.89,-0.5698,0.3035,-0.4823,303.18,-10.99,0.27,0.23,400,01 44 41.4,+03 23 02,26.1725,3.383888888888889
zwicky,VII/4A/zwicky,VII/4A/zwicky,533,533,01 42.4,-02 30,2,65,1.2,5,152.45,-62.02,-0.4836,0.2237,-0.4287,297.66,-12.62,0.11,0.039,1651,01 44 56.5,-02 14 59,26.235416666666666,-2.249722222222222
zwicky,VII/4A/zwicky,VII/4A/zwicky,534,534,01 42.4,+17 06,2,188,7.0,2,140.76,-43.66,-0.787,0.4978,-0.6095,316.66,-6.81,0.65,1.339,140,01 45 06.8,+17 21 01,26.27833333333333,17.35027777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,535,535,01 42.5,-00 09,3,35,0.3,5,150.45,-59.88,-0.5197,0.2564,-0.4521,299.98,-12.01,0.03,0.002,14231,01 45 03.7,+00 06 01,26.265416666666663,0.10027777777777779
zwicky,VII/4A/zwicky,VII/4A/zwicky,536,536,01 42.6,+01 20,2,54,1.6,5,149.33,-58.51,-0.5428,0.2769,-0.4668,301.45,-11.62,0.15,0.07,771,01 45 10.5,+01 35 01,26.293749999999996,1.5836111111111113
zwicky,VII/4A/zwicky,VII/4A/zwicky,537,537,01 42.6,+08 05,1,89,6.2,3,144.99,-52.22,-0.6475,0.3715,-0.5304,308.02,-9.66,0.58,1.05,84,01 45 14.0,+08 20 01,26.30833333333333,8.33361111111111
zwicky,VII/4A/zwicky,VII/4A/zwicky,538,538,01 43.1,+19 28,2,117,4.9,4,140.08,-41.34,-0.824,0.5288,-0.632,318.97,-6.2,0.46,0.656,178,01 45 50.2,+19 43 00,26.459166666666665,19.716666666666665
zwicky,VII/4A/zwicky,VII/4A/zwicky,539,539,01 43.2,-02 14,2,75,2.2,5,152.58,-61.69,-0.4891,0.2252,-0.4342,297.98,-12.74,0.21,0.132,567,01 45 44.7,-01 59 00,26.436249999999998,-1.9833333333333334
zwicky,VII/4A/zwicky,VII/4A/zwicky,540,540,01 43.8,+23 23,2,174,11.4,1,138.91,-37.52,-0.8842,0.5812,-0.6664,322.75,-5.06,1.06,3.551,48,01 46 34.6,+23 37 58,26.64416666666666,23.63277777777778
zwicky,VII/4A/zwicky,VII/4A/zwicky,541,541,01 44.0,-00 51,1,144,5.9,3,151.72,-60.35,-0.5117,0.2424,-0.4506,299.41,-12.56,0.55,0.951,151,01 46 33.4,-00 36 02,26.63916666666666,-0.6005555555555555
zwicky,VII/4A/zwicky,VII/4A/zwicky,542,542,01 44.0,+12 30,1,135,16.4,1,143.26,-47.93,-0.7179,0.4294,-0.5753,312.39,-8.63,1.53,7.35,18,01 46 40.4,+12 44 58,26.66833333333333,12.749444444444444
