catalog,vizier_source,vizier_table,recno,Index,Name,GLON,GLAT,RAJ2000,DEJ2000,e_pos,SNR,Pipeline,PipeDet,PCCS2,PSZ,f_IR,q_neural,Y5R500,e_Y5R500,Val,zID,z,MSZ,E_MSZ,e_MSZ,MCXC,RedMAPPer,ACT,SPT,f_WISE,AMIevi,COSMO,Comment,Simbad,RA_deg,Dec_deg
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1291,1291,PSZ2 G278.56+10.74,278.5603502,10.7484798,157.6282333,-45.3503069,2.428628,4.78613,1,100,0,999999,0,0.871617,1.032087,0.388974,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-2,-1000.0,0,,Simbad,157.6282333,-45.3503069
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1292,1292,PSZ2 G278.58+39.16,278.5845297,39.1696037,172.9855726,-19.9144198,2.427922,12.1556,1,111,0,960,0,0.999199,3.733703,0.59949,21,RXCJ1131.9-1955,0.3075,8.971329,0.458754,0.453792,J1131.9-1955,,,,3,-1000.0,1,,Simbad,172.9855726,-19.9144198
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1293,1293,PSZ2 G278.74-45.26,278.7404015,-45.2666012,53.2084194,-63.5468909,1.990856,6.03076,3,1,0,999999,0,0.001663,0.68988,0.118793,16,,-1.0,1e+20,1e+20,1e+20,,,,,3,-1000.0,0,,Simbad,53.2084194,-63.5468909
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1294,1294,PSZ2 G278.79+08.54,278.7938431,8.5494462,156.2233157,-47.3374002,2.428908,7.07014,1,111,0,961,0,0.999964,1.45264,0.372352,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-2,-1000.0,0,,Simbad,156.2233157,-47.3374002
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1295,1295,PSZ2 G278.87+16.70,278.8709262,16.7071646,162.0431383,-40.3358823,2.428466,5.37325,1,110,0,999999,0,0.995123,1.325999,0.457837,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-2,-1000.0,0,,Simbad,162.0431383,-40.3358823
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1296,1296,PSZ2 G278.91-15.76,278.9176696,-15.7600309,124.9708487,-64.9912125,2.428866,4.9044,1,100,1,962,0,0.086317,1.636166,0.744647,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-2,-1000.0,0,"Point sources at: 857GHz,",Simbad,124.9708487,-64.9912125
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1297,1297,PSZ2 G278.92+31.06,278.9277956,31.0671061,169.7376107,-27.4578112,2.968922,5.17825,2,10,0,999999,0,0.985571,1.072277,0.324291,-1,,-1.0,1e+20,1e+20,1e+20,,,,,1,-1000.0,0,,Simbad,169.7376107,-27.4578112
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1298,1298,PSZ2 G278.94-17.62,278.949699,-17.6239806,121.09173,-65.9300519,2.428699,5.12814,1,100,0,963,0,0.707083,1.826597,1.224849,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,121.09173,-65.9300519
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1299,1299,PSZ2 G279.02+81.24,279.0246717,81.2469201,189.1179938,19.0781662,2.428209,4.86395,1,100,1,999999,0,0.583472,2.761616,1.158952,30,NSCS J123631+190301,0.18,3.384779,0.469569,0.547852,,,,,-10,-1000.0,0,"Point sources at: 353GHz, X-ray under-luminous,",Simbad,189.1179938,19.0781662
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1300,1300,PSZ2 G279.51-44.85,279.5172409,-44.8571264,53.2472317,-64.2313312,5.082538,5.08776,2,111,0,967,0,0.869507,1.054832,0.440042,20,ACO S 362,0.078558,1.698003,0.212707,0.224984,,,,,-10,-1000.0,0,,Simbad,53.2472317,-64.2313312
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1301,1301,PSZ2 G279.79+39.09,279.7942809,39.0963039,173.8795528,-20.3402876,2.015887,7.2858,3,111,0,969,0,0.994785,2.753222,0.764882,20,,0.29,6.118639,0.437946,0.48104,,,,,-10,-1000.0,1,,Simbad,173.8795528,-20.3402876
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1302,1302,PSZ2 G280.17+47.83,280.1752887,47.832567,177.4469087,-12.2965703,1.439743,12.7185,2,111,1,971,0,0.975893,6.725287,1.140663,21,RXCJ1149.7-1219,0.1557,6.0553,0.299841,0.317026,J1149.7-1219,,,,-10,-1000.0,1,"Point sources at: 545GHz, X-ray under-luminous,",Simbad,177.4469087,-12.2965703
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1303,1303,PSZ2 G280.21+14.57,280.2140568,14.5701639,162.2178881,-42.8303477,5.896831,5.11199,2,110,0,970,0,0.938943,4.339792,1.557073,30,ABELL S0648,0.057987,1.779906,0.238685,0.243604,,,,,-10,-1000.0,0,,Simbad,162.2178881,-42.8303477
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1304,1304,PSZ2 G280.23-53.84,280.2338644,-53.8464067,38.6821471,-58.4916978,5.367367,5.88068,2,111,0,972,0,0.886769,1.003316,0.35628,20,SPT-CLJ0234-5831,0.415,4.792248,0.527781,0.568232,,,,SPT-CLJ0234-5831,3,-1000.0,0,,Simbad,38.6821471,-58.4916978
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1305,1305,PSZ2 G280.39-10.48,280.397924,-10.4847264,136.6507197,-63.0359559,2.428912,4.99876,1,100,0,999999,0,0.999555,1.384625,0.606224,-1,,-1.0,1e+20,1e+20,1e+20,,,,,-3,-1000.0,0,,Simbad,136.6507197,-63.0359559
planck_psz2,J/A+A/594/A27/psz2,J/A+A/594/A27/psz2,1306,1306,PSZ2 G280.76-52.30,280.7604791,-52.3049981,40.2141633,-59.8555038,2.428185,4.52323,1,100,0,999999,0,0.973184,4.973511,2.944846,22,SPT-CLJ0240-5952,0.59,4.876684,0.599783,0.652144,,,,SPT-CLJ0240-5952,-1,-1000.0,0,,Simbad,40.2141633,-59.8555038
