catalog,vizier_source,vizier_table,recno,XLSSC,RAJ2000,DEJ2000,z,Ngal,Class,Mgas500kpc,E_Mgas500kpc,e_Mgas500kpc,r500MT,T300kpc,E_T300kpc,e_T300kpc,LXXL500MT,e_LXXL500MT,F60,e_F60,Flags,RA_deg,Dec_deg
xxl,IX/52/xxl365gc,IX/52/xxl365gc,83,80,34.597,-5.413,0.646,7,2,42.62,4.52,5.3,824,1.65,0.32,0.25,11.18,1.73,6,2,,34.59700012207031,-5.413000106811523
xxl,IX/52/xxl365gc,IX/52/xxl365gc,84,64,34.632,-5.017,0.874,3,1,103.72,2.48,2.4,16959,1e+20,1e+20,1e+20,1e+20,1e+20,13,2,+l,34.63199996948242,-5.017000198364258
xxl,IX/52/xxl365gc,IX/52/xxl365gc,85,67,34.681,-5.549,0.382,5,1,34.11,2.62,2.89,470,1.22,0.13,0.17,6.92,0.94,14,2,+l,34.680999755859375,-5.548999786376953
xxl,IX/52/xxl365gc,IX/52/xxl365gc,86,142,34.729,-5.469,0.451,5,2,16.69,4.29,4.54,1016,2.1,0.54,0.37,6.65,1.12,7,2,,34.729000091552734,-5.468999862670898
xxl,IX/52/xxl365gc,IX/52/xxl365gc,87,193,34.876,-5.058,0.203,3,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,3,2,,34.875999450683594,-5.058000087738037
xxl,IX/52/xxl365gc,IX/52/xxl365gc,88,189,34.908,-4.007,0.204,6,1,20.11,2.02,2.23,531,1.28,0.18,0.14,2.73,0.38,18,3,l,34.90800094604492,-4.006999969482422
xxl,IX/52/xxl365gc,IX/52/xxl365gc,89,58,34.935,-4.889,0.332,10,1,30.04,1.5,1.6,669,2.19,0.27,0.26,6.5,0.7,11,2,+,34.935001373291016,-4.888999938964844
xxl,IX/52/xxl365gc,IX/52/xxl365gc,90,183,35.065,-4.917,0.511,3,2,22.79,4.3,6.45,1503,4.42,0.89,0.69,13.1,2.64,9,3,,35.064998626708984,-4.916999816894531
xxl,IX/52/xxl365gc,IX/52/xxl365gc,91,39,35.099,-2.841,0.231,6,1,15.16,2.48,2.62,592,1.6,0.28,0.22,5.61,0.83,17,2,+l,35.0989990234375,-2.8410000801086426
xxl,IX/52/xxl365gc,IX/52/xxl365gc,92,130,35.176,-5.43,0.546,5,2,1e+20,1e+20,1e+20,822,1.53,0.25,0.3,10.18,2.01,6,4,,35.17599868774414,-5.429999828338623
xxl,IX/52/xxl365gc,IX/52/xxl365gc,93,23,35.188,-3.433,0.328,4,1,36.17,3.16,3.43,646,2.05,0.13,0.14,17.38,1.12,34,3,+l,35.1879997253418,-3.433000087738037
xxl,IX/52/xxl365gc,IX/52/xxl365gc,94,184,35.311,-4.204,0.811,3,2,1e+20,1e+20,1e+20,16959,1e+20,1e+20,1e+20,1e+20,1e+20,3,2,,35.31100082397461,-4.203999996185303
xxl,IX/52/xxl365gc,IX/52/xxl365gc,95,6,35.439,-3.772,0.429,16,1,140.57,0.76,0.74,916,4.24,0.61,0.45,185.38,15.03,185,8,+l,35.43899917602539,-3.7720000743865967
xxl,IX/52/xxl365gc,IX/52/xxl365gc,96,61,35.485,-5.758,0.259,10,1,52.82,2.46,2.72,648,1.93,0.29,0.22,13.3,1.61,37,4,+l,35.48500061035156,-5.757999897003174
xxl,IX/52/xxl365gc,IX/52/xxl365gc,97,40,35.523,-4.547,0.32,16,1,34.18,1.42,1.53,631,1.95,0.26,0.24,6.39,0.84,14,2,+l,35.52299880981445,-4.546999931335449
xxl,IX/52/xxl365gc,IX/52/xxl365gc,98,36,35.527,-3.054,0.492,3,1,108.97,2.72,2.58,798,3.53,0.53,0.43,100.72,9.64,94,5,+l,35.527000427246094,-3.053999900817871
xxl,IX/52/xxl365gc,IX/52/xxl365gc,99,47,35.544,-2.681,0.789,16,2,69.08,7.07,8.77,1061,2.87,0.77,0.56,46.99,7.33,12,3,+,35.54399871826172,-2.680999994277954
xxl,IX/52/xxl365gc,IX/52/xxl365gc,100,71,35.64,-4.967,0.833,5,2,57.55,5.54,5.57,895,2.18,0.13,0.15,58.04,3.9,12,3,+,35.63999938964844,-4.9670000076293945
xxl,IX/52/xxl365gc,IX/52/xxl365gc,101,48,35.722,-3.473,1.005,4,2,80.8,8.91,10.82,947,2.72,0.18,0.16,68.46,4.79,11,3,+,35.72200012207031,-3.4730000495910645
xxl,IX/52/xxl365gc,IX/52/xxl365gc,102,30,35.778,-4.216,0.631,16,2,24.44,4.63,4.78,16959,1e+20,1e+20,1e+20,1e+20,1e+20,6,2,+,35.77799987792969,-4.216000080108643
xxl,IX/52/xxl365gc,IX/52/xxl365gc,103,75,35.834,-5.454,0.211,10,1,14.59,1.93,2.37,16959,1e+20,1e+20,1e+20,1e+20,1e+20,13,2,l,35.83399963378906,-5.453999996185303
xxl,IX/52/xxl365gc,IX/52/xxl365gc,104,35,35.949,-2.858,0.174,5,1,26.18,1.91,2.65,534,1.26,0.08,0.08,3.79,0.25,22,3,+*l,35.94900131225586,-2.8580000400543213
xxl,IX/52/xxl365gc,IX/52/xxl365gc,105,28,35.984,-3.098,0.297,14,1,10.35,4.37,4.04,558,1.53,0.27,0.17,4.59,0.65,13,3,+l,35.98400115966797,-3.0980000495910645
xxl,IX/52/xxl365gc,IX/52/xxl365gc,106,49,35.988,-4.588,0.494,6,1,51.4,2.69,2.75,602,2.13,0.12,0.14,10.17,0.54,13,2,+l,35.987998962402344,-4.5879998207092285
xxl,IX/52/xxl365gc,IX/52/xxl365gc,107,32,36.002,-3.424,0.803,4,2,75.48,7.68,8.67,901,2.16,0.49,0.42,46.55,9.99,14,4,l,36.00199890136719,-3.4240000247955322
xxl,IX/52/xxl365gc,IX/52/xxl365gc,108,186,36.003,-5.864,0.515,6,2,1e+20,1e+20,1e+20,671,1.04,0.08,0.06,8.52,0.58,6,3,,36.00299835205078,-5.863999843597412
xxl,IX/52/xxl365gc,IX/52/xxl365gc,109,18,36.008,-5.091,0.324,9,1,18.65,1.73,1.78,580,1.68,0.24,0.16,4.71,0.64,12,2,+,36.007999420166016,-5.091000080108643
xxl,IX/52/xxl365gc,IX/52/xxl365gc,110,29,36.017,-4.225,1.05,6,1,125.66,2.72,2.37,545,3.17,0.64,0.48,191.6,20.55,32,3,+l,36.016998291015625,-4.224999904632568
xxl,IX/52/xxl365gc,IX/52/xxl365gc,111,128,36.048,-3.129,0.481,1,2,1e+20,1e+20,1e+20,776,1.32,0.21,0.19,12.77,2.13,9,4,F,36.04800033569336,-3.128999948501587
xxl,IX/52/xxl365gc,IX/52/xxl365gc,112,62,36.061,-2.721,0.059,4,1,9.88,1.03,0.96,429,0.77,0.12,0.08,1.09,0.14,50,7,+l,36.06100082397461,-2.7209999561309814
