catalog,vizier_source,vizier_table,recno,Name,RAJ2000,DEJ2000,Sep,Photz,E_Photz,e_Photz,Rich,e_Rich,RA_deg,Dec_deg
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1356,MOO J1517+3223,15 17 48.04,+32 23 37.6,20,0.88,0.04,0.04,29,6,229.45016666666663,32.39377777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1357,MOO J1519-0953,15 19 05.24,-09 52 56.2,5,1.03,0.1,0.09,23,5,229.7718333333333,-9.882277777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1358,MOO J1519+3920,15 19 56.84,+39 20 17.5,26,1.06,0.07,0.07,19,5,229.9868333333333,39.33819444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1359,MOO J1519+3920,15 19 56.84,+39 20 17.5,26,1.06,0.07,0.07,19,5,229.9868333333333,39.33819444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1360,MOO J1520+5751,15 20 14.14,+57 50 50.9,11,1.09,0.06,0.06,48,7,230.05891666666665,57.84747222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1361,MOO J1520+5751,15 20 14.14,+57 50 50.9,11,1.09,0.06,0.06,48,7,230.05891666666665,57.84747222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1362,MOO J1521+0452,15 21 04.94,+04 52 13.7,0,1.28,0.03,0.03,46,7,230.2705833333333,4.870472222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1363,MOO J1522-0526,15 22 03.12,-05 26 32.8,11,1.01,0.06,0.06,36,6,230.513,-5.442444444444445
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1364,MOO J1522+5259,15 22 28.36,+52 59 21.7,11,1.27,0.05,0.06,45,6,230.61816666666664,52.98936111111112
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1365,MOO J1525+1541,15 25 48.13,+15 41 19.1,24,1.02,0.05,0.04,52,7,231.45054166666665,15.688638888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1366,MOO J1526+3822,15 26 00.82,+38 22 26.4,25,1.02,0.09,0.09,36,6,231.50341666666665,38.374
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1367,MOO J1526+3822,15 26 00.82,+38 22 26.4,25,1.02,0.09,0.09,36,6,231.50341666666665,38.374
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1368,MOO J1526+4657,15 26 31.50,+46 56 52.7,52,1e+20,1e+20,1e+20,16959,63,231.63125,46.94797222222222
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1369,MOO J1526-0411,15 26 41.73,-04 11 43.0,19,1.08,0.07,0.08,16,4,231.67387499999995,-4.195277777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1370,MOO J1527+5345,15 27 05.08,+53 45 02.8,18,1.08,0.07,0.08,31,6,231.77116666666663,53.75077777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1371,MOO J1528+2800,15 28 47.85,+28 01 05.0,15,1.24,0.08,0.1,25,5,232.199375,28.01805555555556
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1372,MOO J1528+2800,15 28 47.85,+28 01 05.0,15,1.24,0.08,0.1,25,5,232.199375,28.01805555555556
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1373,MOO J1530+4600,15 30 02.77,+46 00 34.5,11,1.16,0.06,0.05,37,6,232.51154166666663,46.00958333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1374,MOO J1530+4600,15 30 02.77,+46 00 34.5,11,1.16,0.06,0.05,37,6,232.51154166666663,46.00958333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1375,MOO J1530+3816,15 30 18.35,+38 16 44.8,12,1.06,0.08,0.07,32,6,232.5764583333333,38.27911111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1376,MOO J1530+4846,15 30 52.41,+48 46 12.5,31,1.14,0.08,0.06,29,5,232.718375,48.77013888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1377,MOO J1530+4846,15 30 52.41,+48 46 12.5,31,1.14,0.08,0.06,29,5,232.718375,48.77013888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1378,MOO J1532+3236,15 32 10.42,+32 35 33.5,41,0.98,0.09,0.09,26,5,233.04341666666664,32.59263888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1379,MOO J1532+3236,15 32 10.42,+32 35 33.5,41,0.98,0.09,0.09,26,5,233.04341666666664,32.59263888888889
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1380,MOO J1533+3622,15 33 06.50,+36 22 57.4,13,1.32,0.04,0.06,37,6,233.2770833333333,36.38261111111111
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1381,MOO J1533-1404,15 33 29.30,-14 05 04.1,50,1e+20,1e+20,1e+20,16959,63,233.3720833333333,-14.084472222222225
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1382,MOO J1533+6516,15 33 47.94,+65 16 56.8,20,1.05,0.05,0.06,38,6,233.44975,65.28244444444444
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1383,MOO J1534+3608,15 34 08.32,+36 07 34.6,29,1.1,0.11,0.09,26,5,233.53466666666665,36.12627777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1384,MOO J1534+5157,15 34 48.63,+51 57 06.0,5,1.35,0.03,0.02,39,6,233.702625,51.95166666666667
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1385,MOO J1535+2329,15 35 34.75,+23 29 29.4,33,1.02,0.06,0.06,16,5,233.89479166666663,23.4915
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1386,MOO J1535+2329,15 35 34.75,+23 29 29.4,33,1.02,0.06,0.06,16,5,233.89479166666663,23.4915
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1387,MOO J1536+0953,15 36 35.47,+09 53 44.1,22,1.02,0.07,0.06,39,6,234.14779166666665,9.895583333333333
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1388,MOO J1536-0637,15 36 49.45,-06 37 46.5,18,1.19,0.07,0.06,45,7,234.20604166666664,-6.629583333333334
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1389,MOO J1537-0047,15 37 36.18,-00 47 50.2,7,1.17,0.06,0.04,38,6,234.40075,-0.7972777777777778
madcows,J/ApJS/240/33/table6,J/ApJS/240/33/table6,1390,MOO J1537-0047,15 37 36.18,-00 47 50.2,7,1.17,0.06,0.04,38,6,234.40075,-0.7972777777777778
